title,summary,link,tags,published,tipo da lei
Decreto Legislativo 1132/2024,Concede a Medalha de Mérito Olegária Mariano a Srª Maria Guadalupe Freitas de Oliveira Silva.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=520,Decreto Legislativo,2024-03-11,ConcessaoMedalha
Decreto Legislativo 1131/2024,Concede o Título de Cidadã do Recife à Sra. Mônica Felts de La Roca Soares.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=498,Decreto Legislativo,2024-03-11,ConcessaoTitulo
Decreto Legislativo 1130/2024,Concede o Título de Cidadão do Recife ao Sr. Ranilson Brandão Ramos.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=497,Decreto Legislativo,2024-03-11,ConcessaoTitulo
Decreto Legislativo 1129/2024,Concede o Título de Cidadã do Recife a Karla Maria de Oliveira Almeida.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=494,Decreto Legislativo,2024-03-11,ConcessaoTitulo
Decreto Legislativo 1128/2024,Concede o Título de Cidadã do Recife a Senhora Maria José Vilaça.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=296,Decreto Legislativo,2024-02-26,ConcessaoTitulo
Decreto Legislativo 1127/2024,Concede o Título de Cidadão do Recife a José Carlos Veras dos Santos (Carlos Veras).,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=524,Decreto Legislativo,2024-02-26,ConcessaoTitulo
Decreto Legislativo 1126/2024,Concede a Medalha de Mérito José Mariano ao Empresário e Artista Carlos Belo Afonso de Melo “Cuscuz dos Patins”.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=522,Decreto Legislativo,2024-02-26,ConcessaoMedalha
Decreto Legislativo 1125/2024,Concede o Título de Cidadão do Recife ao Sr. Aderaldo de Oliveira Florêncio.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=491,Decreto Legislativo,2024-02-26,ConcessaoTitulo
Decreto Legislativo 1124/2023,Concede o Título de Cidadão do Recife ao Advogado Antonio Braz da Silva.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=490,Decreto Legislativo,2023-12-11,ConcessaoTitulo
Decreto Legislativo 1123/2023,Concede o Título de Cidadão do Recife ao Médico Sergio Luis Azevedo Martins.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=489,Decreto Legislativo,2023-12-11,ConcessaoTitulo
Decreto Legislativo 1122/2023,Concede o Título de Cidadão do Recife ao Dr. Pedro Gonzaga Neto.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=487,Decreto Legislativo,2023-12-11,ConcessaoTitulo
Decreto Legislativo 1121/2023,Concede o Título de Cidadã do Recife à Sra. Maria de Lourdes Tenório.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=486,Decreto Legislativo,2023-12-11,ConcessaoTitulo
Decreto Legislativo 1120/2023,Concede a Medalha de Mérito José Mariano ao Cel. PM  Fred Jorge Parente Saraiva.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=499,Decreto Legislativo,2023-12-11,ConcessaoMedalha
Decreto Legislativo 1119/2023,"Concede o Título de Cidadã do Recife à Professora fundadora do Curso de Letras da Universidade Federal Rural de Pernambuco (UFRPE) Dorilma
Neves Galdino Alves.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=493,Decreto Legislativo,2023-12-05,ConcessaoTitulo
Decreto Legislativo 1118/2023,Concede o Título de Cidadã do Recife à Juíza de Direito Wilka Pinto Vilela.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=485,Decreto Legislativo,2023-11-27,ConcessaoTitulo
Decreto Legislativo 1117/2023,Concede o Título de Cidadão do Recife ao Sr. Ilson Mateus Rodrigues,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=488,Decreto Legislativo,2023-11-13,ConcessaoTitulo
Decreto Legislativo 1116/2023,Concede a Medalha de Mérito José Mariano ao Sr. Aldemar Santos.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=484,Decreto Legislativo,2023-11-13,ConcessaoMedalha
Decreto Legislativo 1115/2023,Concede o Título de Cidadão do Recife ao Cantor Sérgio Lopes.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=483,Decreto Legislativo,2023-11-13,ConcessaoTitulo
Decreto Legislativo 1114/2023,"Concede o Título de Cidadão do Recife ao Sr. Gerson Lima Moura, conhecido como Beto Café.",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=482,Decreto Legislativo,2023-11-13,ConcessaoTitulo
Decreto Legislativo 1113/2023,CONCEDE O TÍTULO DE CIDADÃ DO RECIFE À SRA. MARGARETH MENEZES DA PURIFICAÇÃO COSTA.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=426,Decreto Legislativo,2023-11-13,ConcessaoTitulo
Decreto Legislativo 1112/2023,Concede a Medalha de Mérito José Mariano ao Tenente Coronel Alexandre Arruda Pereira e Silva.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=416,Decreto Legislativo,2023-10-23,ConcessaoMedalha
Decreto Legislativo 1111/2023,Concede a Medalha de Mérito José Mariano ao Empresário Ilson Mateus Rodrigues.,https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=415,Decreto Legislativo,2023-10-23,ConcessaoMedalha
