inicio_titulo,autor,summary,link,published
Aditamento a Parecer 6/2021,Felipe Francismar,"Da COMISSÃO DE LEGISLAÇÃO E JUSTIÇA
sobre a reanálise do Projeto de Lei (PLO) n.º
250/2021, que institui, no Calendário Oficial de
Eventos do Município do Recife, a “Semana da
Poesia Popular”. pela
APROVAÇÃO, com a redação dada pela Emenda Modificativa 01/2021 e Emenda
Supressiva da Relatoria 02/2021, do Projeto de Lei Ordinária nº 250/2021, de autoria
da vereadora Andreza Romero.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=114588,07/10/2021
Aditamento a Parecer 5/2021,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA SOBRE A
REANÁLISE DO PROJETO DE LEI ORDINÁRIO (PLO) N.º
63/2021, QUE AUTORIZA A EDIFICAÇÃO DE UM MONUMENTO
NA PRAÇA OTÁVIO DE FREITAS EM HOMENAGEM AOS
PROFISSIONAIS DE SAÚDE MORTOS PELA COVID-19 E OS QUE
TRABALHARAM EM MEIO À PANDEMIA E DÁ OUTRAS
PROVIDÊNCIAS&#8221; PELA REJEIÇÃO DO PROJETO E REJEIÇÃO DA
EMENDA MODIFICATIVA Nº 01/2021 AO PLO N.º 63/2021.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=113458,16/09/2021
Aditamento a Parecer 4/2021,None,ADITAMENTO AO PARECER Nº 316/21 APROVANDO O SUBSTITUTIVO DO PLO 126/2021.,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=109840,02/07/2021
Aditamento a Parecer 3/2021,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA SOBRE O SUBSTITUTIVO AO PROJETO DE LEI ORDINÁRIA (PLO) Nº  126/2021, SUBSTITUI O PROJETO DE LEI ORDINÁRIA Nº 126, DE 2021, QUE INSTITUI NO MUNICÍPIO DO RECIFE O &#8220;PROGRAMA DE COOPERAÇÃO SINAL VERMELHO&#8221;, OBJETIVANDO AJUDAR MULHERES VÍTIMAS DE VIOLÊNCIA DOMÉSTICA.&#8221; NO ÂMBITO DO MUNICÍPIO DO RECIFE. PELA APROVAÇÃO.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=109796,01/07/2021
Aditamento a Parecer 2/2021,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA SOBRE A REANÁLISE DO PROJETO DE RESOLUÇÃO (PRES) N.º 02/2021, QUE DISPÕE SOBRE FRENTE PARLAMENTAR EM DEFESA DA FAMÍLIA, DA VIDA E DE POLÍTICAS DE DROGAS.&#8221; PELA APROVAÇÃO DO PROJETO E REJEIÇÃO DA EMENDA MODIFICATIVA Nº 01/2021 AO PRES N.º 02/2021.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=107389,19/05/2021
Aditamento a Parecer 1/2021,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA, SOBRE A REANÁLISE DO PROJETO DE LEI ORDINÁRIA (PLO) N.º 40/2020, QUE &#8220;ESTABELECE AS IGREJAS E OS TEMPLOS DE QUALQUER CULTO COMO ATIVIDADE ESSENCIAL EM PERÍODOS DE CALAMIDADE PÚBLICA NO MUNICÍPIO DO RECIFE E DÁ OUTRAS PROVIDÊNCIAS.&#8221;, PELA APROVAÇÃO",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=105063,05/04/2021
Aditamento a Parecer 7/2020,None,ADITAMENTO AO PARECER DA COMISSÃO DE ACESSIBILIDADE E MOBILIDADE URBANA SOBRE A REANÁLISE DO PROJETO DE LEI N.º 05/2019; PELA REJEIÇÃO DA EMENDA ADITIVA Nº 03/2020 AO PLO N.º 05/2019.,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=102221,26/10/2020
Aditamento a Parecer 6/2020,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA SOBRE A REANÁLISE DO PROJETO DE LEI (PLO) N.º 05/2019, QUE &#8220;PROÍBE O ACÚMULO DAS FUNÇÕES DE MOTORISTA DE ÔNIBUS E COBRADOR DE TARIFAS NO TRANSPORTE PÚBLICO COLETIVO DO MUNICÍPIO DO RECIFE&#8221;; PELA REJEIÇÃO DA EMENDA ADITIVA Nº 03/2020 AO PLO N.º 05/2019.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=102214,26/10/2020
Aditamento a Parecer 5/2020,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA SOBRE A REANÁLISE DO PROJETO DE LEI (PLO) N.º 05/2019, QUE &#8220;PROÍBE O ACÚMULO DAS FUNÇÕES DE MOTORISTA DE ÔNIBUS E COBRADOR DE TARIFAS NO TRANSPORTE PÚBLICO COLETIVO DO MUNICÍPIO DO RECIFE&#8221;; PELA REJEIÇÃO DA EMENDA ADITIVA Nº 02/2020 AO PLO N.º 05/2019.",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=102062,15/10/2020
Aditamento a Parecer 4/2020,None,"DA COMISSÃO DE LEGISLAÇÃO E JUSTIÇA SOBRE A REANÁLISE DO PROJETO DE LEI (PLO) N.º 05/2019, QUE &#8220;PROÍBE O ACÚMULO DAS FUNÇÕES DE MOTORISTA DE ÔNIBUS E COBRADOR DE TARIFAS NO TRANSPORTE PÚBLICO COLETIVO DO MUNICÍPIO DO RECIFE&#8221;; PELA APROVAÇÃO DA EMENDA ADITIVA Nº 01/2020 AO PLO N.º 05/2019",https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=101194,16/09/2020
