titulo,link,ementa,materia_originaria,link_materia,autoria,situacao,titulo_normalizado
"Lei Ordinária nº 18161, de 25/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1487,INSTITUI O DIA DO COMBATE À HANSENÍASE NAS ESCOLAS E CRECHES DA REDE MUNICIPAL DE ENSINO DA CIDADE DO RECIFE E DÁ OUTRAS PROVIDÊNCIAS.,PLO 151/2014,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=45769,André Régis,Em vigor,Lei Ordinária 18161/2015
"Lei Ordinária nº 18160, de 25/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1486,"DISPÕE SOBRE A OBRIGATORIEDADE DE INFORMAÇÕES DE CÓDIGOS BANCÁRIOS, EM LOCAL VISÍVEL AO PÚBLICO, NOS REFERIDOS ESTABELECIMENTOS.",PLO 144/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=34138,Estefano Menudo,Em vigor,Lei Ordinária 18160/2015
"Lei Ordinária nº 18159, de 16/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1485,"DENOMINAR-SE-Á MAURÍCIO PEDROSA, A ESCOLA A SER CONSTRUÍDA NA RUA DEPUTADO JOSÉ FRANCISCO DE MELO CAVALCANTI, NO BAIRRO DE CAXANGÁ.",PLO 164/2014,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=46094,Davi Muniz,Em vigor,Lei Ordinária 18159/2015
"Lei Ordinária nº 18158, de 16/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1484,"INSTITUI QUE A PRAÇA DO LARGO DOS COELHOS NO BAIRRO DOS COELHOS, NA CIDADE DO RECIFE, PASSE A SER CHAMADA DE ""PRAÇA REGINALDO ROSSI"".",PLO 17/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=50138,Marco Aurélio Medeiros,Em vigor,Lei Ordinária 18158/2015
"Lei Ordinária nº 18157, de 16/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1483,ALTERA NOME DE VIA PÚBLICA NO BAIRRO DA NOVA DESCOBERTA.,PLO 198/2014,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=47142,Vicente André Gomes,Em vigor,Lei Ordinária 18157/2015
"Lei Ordinária nº 18156, de 16/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1482,"INSTITUI A GARANTIA E O DIREITO ÀS MÃES DE AMAMENTAREM SEUS BEBÊS EM ESPAÇOS PÚBLICOS OU PRIVADOS DE ACESSO AO PÚBLICO NO MUNICÍPIO DO RECIFE, E DÁ OUTRAS PROVIDÊNCIAS.",PLO 151/2013,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=34197,Wanderson Florêncio,Em vigor,Lei Ordinária 18156/2015
"Lei Ordinária nº 18155, de 16/09/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1481,DENOMINA “ESTRADA DA PONTE PRETA” O LOGRADOURO PÚBLICO QUE DÁ ACESSO À ESTAÇÃO DE TRATAMENTO DE ESGOTO LOCALIZADA NAS PROXIMIDADES DO TIP.,PLO 220/2014,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=47968,Augusto Carreras,Em vigor,Lei Ordinária 18155/2015
"Lei Ordinária nº 18154, de 13/07/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1480,"ALTERA A REDAÇÃO DO ARTIGO1º, INCISO III E ARTIGO 5°, § 3º, DA LEI MUNICIPAL N° 16.934, DE 29 DE DEZEMBRO DE 2003, QUE DISPÕE SOBRE AS CONSIGNAÇÕES NA FOLHA DE PAGAMENTO.",PLE 13/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=53235,Prefeito do Recife,Em vigor,Lei Ordinária 18154/2015
"Lei Ordinária nº 18153, de 28/05/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1479,"INSTITUI O DIA MUNICIPAL DO ARTESÃO NO ÂMBITO DO MUNICÍPIO DO RECIFE E DÁ OUTRAS PROVIDÊNCIAS.  ""REGIME DE URGÊNCIA""",PLO 29/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=50660,Isabella de Roldão,Em vigor,Lei Ordinária 18153/2015
"Lei Ordinária nº 18152, de 02/07/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1478,DISPÕE SOBRE O REAJUSTE DA REMUNERAÇÃO DOS SERVIDORES DO PODER LEGISLATIVO MUNICIPAL.,PLO 92/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=52925,Comissão Executiva,Em vigor,Lei Ordinária 18152/2015
"Lei Ordinária nº 18151, de 03/07/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1477,DISPÕE SOBRE A AUTORIZAÇÃO DE ABERTURA DE CRÉDITO ESPECIAL AO ORÇAMENTO DE 2015.,PLE 11/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=53233,Prefeito do Recife,Em vigor,Lei Ordinária 18151/2015
"Lei Ordinária nº 18150, de 03/07/2015",https://publico.recife.pe.leg.br/consultas/norma_juridica/norma_juridica_mostrar_proc?cod_norma=1476,AUTORIZA A ABERTURA DE CRÉDITO ESPECIAL AO ORÇAMENTO DE 2015.,PLE 12/2015,https://publico.recife.pe.leg.br/consultas/materia/materia_mostrar_proc?cod_materia=53234,Prefeito do Recife,Em vigor,Lei Ordinária 18150/2015
