Nome,Endereço,Cidade,Estado,CEP,Telefone,Site,Atividades
ALUIZIO A.M. D’AVILA ENGENHARIA DE PROJETOS LTDA,"RUA PORTO MARTINS, 546, BROOKLIN NOVO",SAO PAULO,SP,04570-140,11 5506-2253,,engenharia;estudos e projetos
AMBIENTAL CONSULTORES ASSOCIADOS,"AL ALMIRANTE BARROSO, 600, SL 203 CENTRO",JOAO PESSOA,PB,58013-120,83 3222-6522,,arquitetura;estudos e projetos
AMBIENTE BRASIL ENGENHARIA LTDA,"RUA MIRAGAIA, 209, BUTANTA",SAO PAULO,SP,05511-020,11 5084-7978,,engenharia;estudos e projetos;gerenciamento;planejamento
ANDRADE AZEVEDO ARQUITETURA CORPORATIVA LTDA,"AV ANGELICA, 2118, CJ 43/44 40 AND HIGIENOPOLIS",SAO PAULO,SP,01228-200,11 3258-1234,www.andradeazevedo.com.br,arquitetura
AP CONSULTORIA E PROJETOS LTDA,"AV ANTONIO CARLOS MAGALHAES, 3840, 5 AND BLOCO B EDF. CAPEMI PITUBA",SALVADOR,BA,41820-902,71 2202-2500,,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento
APF PROJETOS SC LTDA,"AV EDILU, 455, 2 AND JARDIM SANTO IGNACIO",SAO BERNARDO DO CAMPO,SP,09861-401,11 4343-4183,,engenharia;estudos e projetos;planejamento
AQUA SALUTIS ENGENHARIA EIRELI ME,"RUA ALFERES POLI 978, CENTRO",CURITIBA,PR,80230-090,,,engenharia;estudos e projetos
ARCADIS LOGOS S.A,"AV DES MOREIRA 760, SL 1610 ALDEOTA",FORTALEZA,CE,60170-000,85 3105-1085,,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;paisagismo;planejamento;topografia
ARCADIS LOGOS S.A,"SCN SETOR COMERCIAL NORTE, QD 04, BL B SL 202 A CENTRO",BRASILIA,DF,70714-900,11 3117-3171,,
ARCADIS LOGOS S.A,"RUA FORTALEZA, 65, QD 05",LT 05/09 – SL 205 ALTO DA GLORIA – GOIANIA,GO,74815-710,62 3212-0384,,
ARCADIS LOGOS S.A,"RUA PERNAMBUCO, 1000, SL 301 FUNCIONARIOS",BELO HORIZONTE,MG,30130-151,31 3194-8966,www.arcadislogos.com.br,arquitetura;engenharia;estudos e projetos;gerenciamento;inspeção;planejamento;topografia
ARCADIS LOGOS S.A,"RUA DO MERCADO 17, 14 AND CENTRO",RIO DE JANEIRO,RJ,20010-120,21 2217-6453,,engenharia
ARCADIS LOGOS S.A.,"R. LIBERO BADARO 377, 6. AND.",CJ. 605 CENTRO – SAO PAULO,SP,01009-906,11 3117-3171,WWW.ARCADISLOGOS.COM.BR,arquitetura;engenharia;estudos e projetos;gerenciamento;inspeção;planejamento
ARCO PROJETO E CONSTRUCOES LTDA,"AV PRESIDENTE EPITACIO PESSOA, 2900, TAMBAUZINHO",JOAO PESSOA,PB,58040-000,83 3225-8300,,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento
